SampleID,Hap_Name,Haplotype_Seq,Phenotype_1,WT_TPM,SA_TPM
WB1126,Hap1,,,,
WB1127,Hap1,,,,
WB1128,Hap1,,,,
WB1129,Hap1,,42.1864325,,
WB1130,Hap1,,50.1275194,,
WB1131,Hap1,,35.96798145,,
WB1132,Hap1,,60.85916815,,
WB1133,Hap1,,65.40039015,,
WB1134,Hap1,,40.97653382,,
WB1135,Hap1,,42.63933793,,
WB1136,Hap1,,50.57666755,,
WB1137,Hap1,,43.86065432,,
WB1138,Hap1,,,,
WB1139,Hap1,,52.16167155,,
WB1140,Hap1,,,,
WB1141,Hap1,,,,
WB1142,Hap1,,,,
WB1143,Hap1,,57.2094062,,
WB1144,Hap1,,52.99145445,,
